source_id,target_id,relationship_type
G0102,T1059.003,uses
AN0123,DC0039,monitors_data_component
S0476,T1059.001,uses
T1505.003,TA0003,belongs_to_tactic
AN0725,DC0055,monitors_data_component
G0140,T1583.006,uses
S0409,T1036.005,uses
S0393,T1027,uses
S1085,T1059.003,uses
S0013,T1564.001,uses
T1553.002,T1553,subtechnique_of
G0049,T1012,uses
G1041,T1203,uses
AN0810,DC0067,monitors_data_component
S0148,T1571,uses
G1026,S1122,uses
S0531,T1102.002,uses
S1201,T1539,uses
DET0207,AN0583,has_analytic
S0352,T1082,uses
G1035,T1036,uses
S0611,T1140,uses
M1047,T1574.007,mitigates
G0022,T1003.001,uses
AN0678,DC0039,monitors_data_component
AN0127,DC0016,monitors_data_component
M1028,T1490,mitigates
G0069,T1027.003,uses
S0689,T1106,uses
S0679,T1546.015,uses
G1046,S0650,uses
G0045,T1021.001,uses
T1567,TA0010,belongs_to_tactic
G0107,T1036.005,uses
M1033,D3-EAL,mapped_to_d3fend_technique
DET0012,AN0034,has_analytic
AN0610,DC0032,monitors_data_component
G1024,S1129,uses
S0607,T1070.004,uses
G0005,T1102.002,uses
D3-NTCD,D3-TAC-DETECT,belongs_to_tactic
S0462,T1027.010,uses
S0182,T1548.002,uses
S1063,T1105,uses
T1591.004,T1591,subtechnique_of
AN0566,DC0032,monitors_data_component
S1155,T1082,uses
S0393,T1102.002,uses
S0154,T1069.002,uses
S0461,T1546.012,uses
S1035,T1547.001,uses
S0098,T1574.001,uses
G1017,T1589.002,uses
DET0370,AN1042,has_analytic
DET0829,T1583.007,detects
S0062,T1074.001,uses
D3-OM,D3-TAC-MODEL,belongs_to_tactic
D3-HBWP,D3-TAC-HARDEN,belongs_to_tactic
AN0327,DC0039,monitors_data_component
AN0807,DC0001,monitors_data_component
S0141,T1569.002,uses
S0538,T1560.001,uses
AN0284,DC0034,monitors_data_component
G0093,T1018,uses
G1017,T1584.003,uses
S0409,T1052.001,uses
T1055.002,TA0004,belongs_to_tactic
S0337,T1005,uses
S0449,T1486,uses
S0098,T1125,uses
DA-USER-INIT-CONFIGURATION-FILE,OA-USER-INIT-CONFIGURATION-FILE,targets
M1039,T1690,mitigates
M1040,T1216.001,mitigates
S0569,T1105,uses
S0071,T1059.003,uses
DA-PROCESS,OA-SCHEDULED-JOB,targets
DA-SYSTEM-CALL,OA-GET-SYSTEM-TIME,targets
G0032,T1090.002,uses
S1099,T1083,uses
C0026,S1074,uses
G0125,S0029,uses
G1004,T1531,uses
G0013,T1566.001,uses
DET0226,T1036.008,detects
S0664,T1071.001,uses
S0493,T1083,uses
S0264,T1105,uses
S0538,T1036.004,uses
S0223,T1036.004,uses
G1043,T1686,uses
S0226,T1552.001,uses
DET0411,AN1151,has_analytic
S0625,T1543.003,uses
T1111,TA0006,belongs_to_tactic
G0106,T1071,uses
DET0857,T1589.003,detects
C0014,S0105,uses
S0362,T1546.004,uses
S0196,T1036.005,uses
S0650,T1041,uses
DET0164,T1036.011,detects
G0050,S0039,uses
S1012,T1056.001,uses
M1056,T1589,mitigates
DET0383,AN1078,has_analytic
S1099,T1518,uses
DET0327,AN0931,has_analytic
S0447,T1033,uses
AN0651,DC0032,monitors_data_component
M1050,T1210,mitigates
DET0289,AN0801,has_analytic
M1051,T1686.002,mitigates
S1130,T1547.001,uses
DET0178,AN0505,has_analytic
DET0242,T1213.006,detects
C0047,T1071.001,uses
AN0195,DC0085,monitors_data_component
AN0791,DC0032,monitors_data_component
AN1236,DC0014,monitors_data_component
C0012,T1071.001,uses
S1149,T1005,uses
AN0426,DC0064,monitors_data_component
G1032,T1087.002,uses
S0639,T1105,uses
S1034,T1113,uses
G1001,T1591.004,uses
S0504,T1070.004,uses
M1015,T1003.006,mitigates
S1159,T1070.005,uses
G1051,T1071.001,uses
S0337,T1105,uses
DET0495,AN1363,has_analytic
S1221,T1140,uses
S0414,T1547.001,uses
S9003,T1071.001,uses
C0013,T1090,uses
DET0565,AN1561,has_analytic
AN1024,DC0085,monitors_data_component
G0140,T1027.010,uses
S1212,T1688,uses
AN0329,DC0085,monitors_data_component
G1015,T1021.001,uses
G0009,T1047,uses
DET0597,AN1641,has_analytic
S0520,T1027.002,uses
T1546.013,TA0004,belongs_to_tactic
DET0179,AN0507,has_analytic
G0035,T1584.004,uses
S0352,T1036.008,uses
G1015,S0591,uses
S0404,T1005,uses
S1099,T1090,uses
S0262,T1547.001,uses
G1041,T1133,uses
T1059.013,T1059,subtechnique_of
S0074,T1543.003,uses
S1202,T1484.001,uses
S0589,T1070.004,uses
T1102.001,TA0011,belongs_to_tactic
AN0570,DC0039,monitors_data_component
S0677,T1556.006,uses
S0697,T1053.005,uses
DET0402,AN1128,has_analytic
S0398,T1574.001,uses
S0444,T1112,uses
S0641,T1056,uses
G1035,T1083,uses
M1030,T1133,mitigates
S0197,T1074.001,uses
S0631,T1112,uses
M1049,T1027.002,mitigates
DET0028,AN0081,has_analytic
G0035,T1189,uses
T1213.002,T1213,subtechnique_of
AN0081,DC0032,monitors_data_component
S1149,T1105,uses
S0396,T1518.001,uses
M1028,T1098,mitigates
M1047,T1036,mitigates
S0484,T1497,uses
S0345,T1543.003,uses
AN0624,DC0032,monitors_data_component
S1138,T1584.006,uses
AN1029,DC0063,monitors_data_component
C0063,S0057,uses
D3-RAM,D3-TAC-ISOLATE,belongs_to_tactic
AN0770,DC0066,monitors_data_component
DET0531,AN1469,has_analytic
S0538,T1074.001,uses
S1202,T1021.002,uses
G0143,T1070.003,uses
AN1448,DC0032,monitors_data_component
C0014,S0104,uses
S0496,T1055,uses
S0552,T1482,uses
AN1516,DC0102,monitors_data_component
G0061,T1071.001,uses
S1111,T1480,uses
T1567.001,T1567,subtechnique_of
AN0041,DC0032,monitors_data_component
AN0055,DC0039,monitors_data_component
C0001,T1059.003,uses
M1054,T1539,mitigates
S0170,T1074.001,uses
T1105,TA0011,belongs_to_tactic
S0504,T1095,uses
S1081,T1041,uses
M1047,D3-LAM,mapped_to_d3fend_technique
G1017,T1083,uses
C0005,T1218.011,uses
S0404,T1105,uses
D3-PA,D3-TAC-DETECT,belongs_to_tactic
S0650,T1568.002,uses
S0031,T1090.001,uses
AN1079,DC0014,monitors_data_component
DET0079,AN0216,has_analytic
S0254,T1547.001,uses
AN0571,DC0032,monitors_data_component
S0228,T1059.005,uses
S0546,T1053.005,uses
DET0148,AN0419,has_analytic
DET0259,T1219.002,detects
G1009,S1033,uses
AN0342,DC0042,monitors_data_component
S1099,T1012,uses
DET0036,T1098.005,detects
S0240,T1622,uses
S0257,T1027.002,uses
G0096,S0097,uses
G1009,T1505.003,uses
S0150,T1027,uses
