source_id,target_id,relationship_type
C0015,T1074.001,uses
S0390,T1059.001,uses
S1059,T1105,uses
G0046,T1486,uses
M1045,T1505.001,mitigates
S0377,T1140,uses
S0375,T1056.001,uses
S0437,T1070.004,uses
DET0241,T1558.002,detects
DET0272,T1556.004,detects
DET0323,T1542.002,detects
T1547.014,T1547,subtechnique_of
G0045,T1083,uses
S0359,T1016,uses
T1200,Initial Access,belongs_to_tactic
S0588,T1027.002,uses
G1054,S0057,uses
S0476,T1218.010,uses
S0385,T1027.013,uses
OA-ACCESS-CONTROL-CONFIGURATION,T1222,modifies
S0496,T1566.001,uses
M1022,T1037.002,mitigates
G0049,T1218.001,uses
C0012,S0105,uses
C0024,T1550.001,uses
S1249,T1036.005,uses
T1518,Discovery,belongs_to_tactic
C0044,S1169,uses
G0094,T1566.001,uses
S0350,T1021.002,uses
S1078,T1132.001,uses
OA-LOCAL-USER-ACCOUNT,T1087.001,enumerates
G0102,T1210,uses
M1045,T1601,mitigates
G0016,T1090.002,uses
G1020,T1583.004,uses
S0653,T1140,uses
S0341,T1059.007,uses
S0448,T1005,uses
S1245,T1489,uses
S0030,T1547.001,uses
G0032,S0366,uses
S0087,T1059.003,uses
S0438,T1129,uses
S0219,T1083,uses
S1081,T1102,uses
G1040,S1162,uses
G0046,S9001,uses
S1124,T1027.015,uses
D3-PROTOCOL-METADATA-ANOMALY-DETECTION,DA-NETWORK-TRAFFIC,analyzes
S0053,T1114.002,uses
S0094,T1057,uses
G0142,T1566.002,uses
M1031,T1001,mitigates
S0153,T1573.001,uses
S0483,T1082,uses
S1188,T1059.011,uses
S0260,T1007,uses
T1127,Stealth,belongs_to_tactic
M1020,T1573.002,mitigates
S0689,T1561.001,uses
S0260,T1071.001,uses
G0129,T1059.003,uses
M1024,T1556,mitigates
DET0266,T1070.008,detects
S0428,T1041,uses
S0537,T1106,uses
S0251,T1105,uses
DA-MAIL-SERVER,OA-MAIL-SERVER,targets
S1210,T1090,uses
M1042,T1564.007,mitigates
G0129,T1518,uses
S9018,T1055.012,uses
S1237,T1106,uses
S0126,T1055.001,uses
S1180,T1046,uses
G0007,T1059.003,uses
G1053,T1580,uses
S1022,T1036.005,uses
S0482,T1685,uses
S0587,T1222.002,uses
G1035,T1059.003,uses
M1031,T1048,mitigates
G0065,T1547.001,uses
T1608,Resource Development,belongs_to_tactic
S0667,T1005,uses
S0198,T1027.011,uses
M1032,T1078,mitigates
S0517,T1057,uses
C0013,T1587.001,uses
G1015,T1553.002,uses
S0268,T1012,uses
G0108,T1588.002,uses
D3-DE,D3-TAC-DECEIVE,belongs_to_tactic
D3-CH,DA-CREDENTIAL,hardens
S0171,T1033,uses
M1037,T1499,mitigates
DA-SESSION,OA-LOGIN-SESSION,targets
G0108,T1053.005,uses
S0599,T1057,uses
S0683,T1610,uses
G0019,S0097,uses
S0661,T1574.001,uses
D3-SMRA,D3-TAC-DETECT,belongs_to_tactic
S0692,T1056.001,uses
M1022,T1037.003,mitigates
DET0850,T1588,detects
S1210,T1057,uses
S0256,T1027.011,uses
G1017,S0108,uses
G0064,T1552.006,uses
S0355,T1547.001,uses
S0260,T1560.001,uses
G0091,T1547.001,uses
S0059,T1057,uses
