source_id,target_id,relationship_type
ZIG-ACT-5.2.5,T1550,mitigates
ZIG-ACT-4.5.3,T1591,mitigates
ZIG-ACT-2.7.2,T1037,mitigates
ZIG-ACT-5.2.4,T1115,mitigates
ZIG-ACT-5.3.1,T1552,mitigates
CREF-APP-9,T1104,mitigates_architecturally
ZIG-ACT-5.4.1,T1189,mitigates
M1053,T1486,mitigates
ZIG-ACT-5.2.4,T1087,mitigates
M1029,ZIG-ACT-4.4.5,implements_activity
CREF-APP-50,T1612,mitigates_architecturally
ZIG-ACT-2.7.1,T1547,mitigates
M1047,T1482,mitigates
CREF-TECH-9,CREF-OBJ-5,achieves_objective
CM2015,T1011,mitigates
ZIG-ACT-3.5.2,T1106,mitigates
ZIG-ACT-7.2.5,T1589,mitigates
ZIG-ACT-7.2.2,T1567,mitigates
CREF-APP-13,T1546,mitigates_architecturally
CM2029,ZIG-ACT-4.5.1,implements_activity
ZIG-ACT-2.6.2,T1014,mitigates
ZIG-ACT-2.7.2,T1018,mitigates
ZIG-ACT-7.5.1,T1011,mitigates
ZIG-ACT-4.3.2,T1104,mitigates
ZIG-ACT-5.2.5,T1556,mitigates
CM2033,ZIG-ACT-7.6.2,implements_activity
ZIG-ACT-7.6.1,T1200,mitigates
ZIG-ACT-1.4.3,T1059,mitigates
CREF-APP-4,T1127,mitigates_architecturally
ZIG-ACT-5.3.2,T1216,mitigates
CM2003,ZIG-ACT-7.1.3,implements_activity
CREF-APP-5,T1222,mitigates_architecturally
ZIG-ACT-1.2.1,T1554,mitigates
M1021,ZIG-ACT-2.3.6,implements_activity
CREF-APP-5,T1499,mitigates_architecturally
ZIG-ACT-5.2.4,T1212,mitigates
CM2018,ZIG-ACT-7.2.4,implements_activity
ZIG-ACT-1.2.3,T1047,mitigates
ZIG-ACT-2.1.4,T1601,mitigates
ZIG-ACT-2.3.1,T1119,mitigates
ZIG-ACT-2.3.3,T1119,mitigates
CREF-TECH-7,CREF-OBJ-5,achieves_objective
ZIG-ACT-3.4.6,T1598,mitigates
ZIG-ACT-2.2.1,T1056,mitigates
ZIG-ACT-6.7.1,T1090,mitigates
ZIG-ACT-1.2.3,T1565,mitigates
CM2012,ZIG-ACT-3.2.2,implements_activity
CREF-APP-19,T1098,mitigates_architecturally
CREF-APP-4,T1057,mitigates_architecturally
ZIG-ACT-2.7.2,T1599,mitigates
M1021,ZIG-ACT-3.4.1,implements_activity
ZIG-ACT-5.4.4,T1211,mitigates
CM1151,SC-7(22),satisfies_control
ZIG-ACT-2.7.2,T1095,mitigates
ZIG-ACT-4.2.1,T1204,mitigates
ZIG-ACT-4.5.3,T1609,mitigates
ZIG-ACT-2.7.2,T1069,mitigates
ZIG-ACT-3.2.3,T1059,mitigates
CM1115,SC-25,satisfies_control
M1046,ZIG-ACT-3.2.2,implements_activity
CM1129,CREF-APP-8,implements_approach
CM2020,T1197,mitigates
ZIG-ACT-2.3.5,T1007,mitigates
ZIG-ACT-3.2.2,T1070,mitigates
ZIG-ACT-7.2.2,T1039,mitigates
CM2005,ZIG-ACT-7.3.2,implements_activity
M1021,ZIG-ACT-1.4.3,implements_activity
ZIG-ACT-1.4.4,T1001,mitigates
ZIG-ACT-1.4.3,T1005,mitigates
ZIG-ACT-1.6.2,T1137,mitigates
ZIG-ACT-2.3.5,T1052,mitigates
ZIG-ACT-4.5.1,T1580,mitigates
ZIG-ACT-4.2.1,T1134,mitigates
ZIG-ACT-5.4.3,T1068,mitigates
ZIG-ACT-7.3.2,T1570,mitigates
ZIG-ACT-7.3.2,T1124,mitigates
ZIG-ACT-3.4.6,T1216,mitigates
ZIG-ACT-5.4.3,T1095,mitigates
CM1162,CREF-APP-20,implements_approach
ZIG-ACT-6.7.4,T1134,mitigates
ZIG-ACT-5.2.4,T1569,mitigates
CM2023,ZIG-ACT-7.5.2,implements_activity
CM2009,ZIG-ACT-2.6.1,implements_activity
ZIG-ACT-5.4.4,T1070,mitigates
ZIG-ACT-2.7.3,T1204,mitigates
ZIG-ACT-6.7.1,T1056,mitigates
ZIG-ACT-7.5.1,T1212,mitigates
ZIG-ACT-6.3.1,T1608,mitigates
ZIG-ACT-3.4.1,T1557,mitigates
CM1151,ZIG-ACT-6.1.2,implements_activity
ZIG-ACT-6.7.1,T1218,mitigates
CM2029,ZIG-ACT-3.3.1,implements_activity
ZIG-ACT-5.3.2,T1001,mitigates
